iter,mass,loss
0,0.8999999762,3.3766165376e-02
1,0.9299999475,2.9731495306e-02
2,0.9599312544,2.5972921401e-02
3,0.9897417426,2.2492416203e-02
4,1.0193743706,1.9290614873e-02
5,1.0487667322,1.6366705298e-02
6,1.0778514147,1.3718235306e-02
7,1.1065557003,1.1341052130e-02
8,1.1348017454,9.2292539775e-03
9,1.1625071764,7.3749939911e-03
10,1.1895850897,5.7685780339e-03
11,1.2159453630,4.3983394280e-03
12,1.2414950132,3.2508277800e-03
13,1.2661399841,2.3108026944e-03
14,1.2897861004,1.5614673030e-03
15,1.3123409748,9.8471122328e-04
16,1.3337159157,5.6136515923e-04
17,1.3538277149,2.7162890183e-04
18,1.3726009130,9.5398921985e-05
19,1.3899693489,1.2755323951e-05
20,1.4058781862,4.3700301831e-06
21,1.4202854633,5.1939288824e-05
22,1.4331630468,1.3855991710e-04
23,1.4444974661,2.4905800819e-04
24,1.4542903900,3.7022359902e-04
25,1.4625581503,4.9097987358e-04
26,1.4693316221,6.0247658985e-04
27,1.4746550322,6.9800519850e-04
28,1.4785851240,7.7299046097e-04
29,1.4811896086,8.2476553507e-04
30,1.4825458527,8.5238344036e-04
31,1.4827393293,8.5635972209e-04
32,1.4818621874,8.3840405568e-04
33,1.4800115824,8.0114480807e-04
34,1.4772886038,7.4783759192e-04
35,1.4737967253,6.8213453051e-04
36,1.4696406126,6.0782814398e-04
37,1.4649251699,5.2866188344e-04
38,1.4597542286,4.4814404100e-04
39,1.4542297125,3.6939483834e-04
40,1.4484508038,2.9510894092e-04
41,1.4425128698,2.2740218265e-04
42,1.4365068674,1.6782930470e-04
43,1.4305185080,1.1738587637e-04
44,1.4246275425,7.6508193160e-05
45,1.4189071655,4.5129316277e-05
46,1.4134235382,2.2766798793e-05
47,1.4082353115,8.5751853476e-06
48,1.4033930302,1.4565412130e-06
49,1.3989391327,1.4252938740e-07
50,1.3949078321,3.2848183764e-06
51,1.3913247585,9.5386094472e-06
52,1.3882074356,1.7632959498e-05
53,1.3855652809,2.6430479920e-05
54,1.3833999634,3.4965007217e-05
55,1.3817056417,4.2475814553e-05
56,1.3804699183,4.8417652579e-05
57,1.3796741962,5.2449227951e-05
58,1.3792941570,5.4431984609e-05
59,1.3793009520,5.4396437918e-05
60,1.3796617985,5.2511062677e-05
61,1.3803404570,4.9062640755e-05
62,1.3812985420,4.4391210395e-05
63,1.3824958801,3.8882419176e-05
64,1.3838914633,3.2922122045e-05
65,1.3854442835,2.6875437470e-05
66,1.3871139288,2.1059051505e-05
67,1.3888610601,1.5730747691e-05
68,1.3906481266,1.1085894585e-05
69,1.3924399614,7.2427992563e-06
70,1.3942041397,4.2562223825e-06
71,1.3959113359,2.1173625555e-06
72,1.3975354433,7.6909412883e-07
73,1.3990539312,1.1337169070e-07
74,1.4004482031,2.5420751726e-08
75,1.4017031193,3.6709002416e-07
76,1.4028075933,9.9738940662e-07
77,1.4037539959,1.7831132482e-06
78,1.4045383930,2.6056795832e-06
79,1.4051600695,3.3679402804e-06
